Model,MAE,MSE,R2
LinearRegression,82657.94605892096,10549721686.159065,0.9146454505138086
RidgeRegression,82658.16200151866,10548926302.06056,0.9146518857216195
LassoRegression,82657.8707961236,10549697781.474472,0.9146456439192505
ElasticNet,121396.82751833195,22882464164.43928,0.8148650288611808
PolynomialRegression,83413.36423272327,10664698477.378294,0.9137152087019549
RandomForest,98358.15218578398,14990330266.86372,0.878717853926324
SVM,282858.36053643364,123484043566.05331,0.0009286291275543146
LGBM,92107.722605075,13118984652.901615,0.89385833502757
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,105521.77631226745,17103111914.936457,0.861623988220792
